country,Health,Trade,Finance
Afghanistan,-0.598539,0.0938719,0.15728
Albania,0.156434,-0.209825,-0.0610033
Algeria,0.00394545,-0.135293,-0.132424
Angola,-0.655346,0.278008,-0.139221
AntiguaandBarbuda,0.204535,-0.0667392,-0.103532
Argentina,0.111128,-0.204464,0.11961
Armenia,0.0888458,-0.244763,-0.153517
Australia,0.444128,0.0151481,0.267504
Austria,0.525343,0.112863,0.241956
Azerbaijan,0.0427994,-0.124449,-0.0784161
Bahamas,0.251222,-0.035132,0.0814872
Bahrain,0.277668,0.0843972,-0.148768
Bangladesh,-0.102643,-0.251238,-0.124421
Barbados,0.232515,-0.105485,0.0263462
Belarus,0.183593,-0.104145,-0.191397
Belgium,0.492498,0.244323,0.135703
Belize,0.0363222,-0.0536309,-0.174358
Benin,-0.576735,0.0905841,-0.0205367
Bhutan,-0.00755028,-0.0622283,-0.173051
Bolivia,-0.120429,-0.0992538,-0.104747
BosniaandHerzegovina,0.263146,-0.223604,0.136219
Botswana,-0.154387,0.0288329,0.0398397
Brazil,0.141538,-0.263884,0.179326
Brunei,0.424732,0.192682,-0.160361
Bulgaria,0.207291,-0.124519,-0.0907264
Burkina Faso,-0.65839,0.11418,0.139467
Burundi,-0.615487,0.115283,0.375885
Cambodia,-0.109686,-0.0304476,-0.143064
Cameroon,-0.574481,0.0619302,0.040043
Canada,0.480388,0.0293608,0.334799
Cape Verde,-0.009005,-0.110302,-0.185137
CentralAfricanRepublic,-0.78502,0.111213,0.0256312
Chad,-0.80674,0.274812,0.0111719
Chile,0.239416,-0.157924,0.0493568
China,0.12615,-0.278609,-0.0882552
Colombia,0.118766,-0.27188,0.0817332
Comoros,-0.434837,0.0289806,-0.0410984
CongoDem.Rep.,-0.69268,0.246239,0.127499
CongoRep.,-0.397285,0.204732,-0.285806
Costa Rica,0.23972,-0.195652,0.176782
Cote d'Ivoire,-0.577642,0.183792,-0.0298181
Croatia,0.262725,-0.152738,0.02414
Cyprus,0.408597,0.0154259,-0.0691225
CzechRepublic,0.365332,0.013502,-0.0493266
Denmark,0.508454,0.187537,0.316036
DominicanRepublic,0.0106961,-0.166268,-0.00566852
Ecuador,0.0516798,-0.172536,0.0718511
